tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,score
tt1384803,movie,The End of the World as We Knew It,The End of the World as We Knew It,0,2008.0,,60.0,[],7.8,8,6.862338410072788
tt6985144,tvSeries,Miguel,Miguel,0,2018.0,,42.0,[],7.9,38,6.981925854633899
tt1257570,tvMovie,The Dead Queen,La reine morte,0,2009.0,,106.0,"['Drama', 'History']",6.8,85,6.821573895500799
tt1871397,short,The Cremation of Sam McGee,The Cremation of Sam McGee,0,2001.0,,8.0,"['History', 'Short']",7.2,6,6.83903916249894
tt0033169,movie,Tom Brown's School Days,Tom Brown's School Days,0,1940.0,,86.0,[],6.7,372,6.749374714121883
tt1865402,movie,Horizons Crossing,Horizons Crossing,0,2011.0,,90.0,"['Drama', 'Thriller']",6.3,11,6.80530917994688
tt0426954,video,Barbershop Blues,Barbershop Blues,0,2004.0,,84.0,"['Mystery', 'Thriller']",5.5,13,6.758157864410128
tt0035823,movie,Douce,Douce,0,1943.0,,104.0,[],7.2,266,7.0286347539136385
tt5284200,movie,Alles unter Kontrolle,Alles unter Kontrolle,0,2015.0,,93.0,[],7.3,43,6.903949276423718
tt0957980,tvEpisode,Mysterious Crash of Flight 201,Mysterious Crash of Flight 201,0,1993.0,,60.0,[],8.2,6,6.864571077392557
tt6096194,movie,Different Flowers,Different Flowers,0,2017.0,,99.0,[],5.2,457,5.743985718931853
tt5512646,tvEpisode,Hard Heads and Softballs,Hard Heads and Softballs,0,2016.0,,41.0,[],6.0,15,6.77858279994775
tt0082170,tvMovie,The Children Nobody Wanted,The Children Nobody Wanted,0,1981.0,,100.0,[],6.7,216,6.76668360266798
tt2165357,tvEpisode,Knock with Me - Rock with Me,Knock with Me - Rock with Me,0,2012.0,,59.0,"['Drama', 'Music']",8.0,146,7.285264541832669
tt1501680,tvShort,Yellowstone: Land to Life,Yellowstone: Land to Life,0,2009.0,,21.0,[],7.8,16,6.892955931376535
tt2511594,movie,Helium,Helium,0,2014.0,,79.0,[],6.0,102,6.57394019089804
tt0159656,movie,Le plus joli péché du monde,Le plus joli péché du monde,0,1951.0,,85.0,[],5.5,13,6.758157864410128
tt0401068,tvSeries,Sämpy,Sämpy,0,1974.0,,25.0,[],7.4,11,6.855725846613546
tt0914432,tvEpisode,Revenge,Revenge,0,1953.0,,30.0,"['Crime', 'Drama']",7.2,5,6.8374965948173125
tt0382787,tvMovie,Königskinder,Königskinder,0,2003.0,,86.0,"['Drama', 'Romance']",7.4,34,6.903323966491449
tt1916670,movie,The Night Watchman,El Velador,0,2011.0,,72.0,[],6.7,95,6.791587046874232
tt1683932,short,Pink Triangle,Pink Triangle,0,2010.0,,19.0,"['Drama', 'History', 'Romance']",6.9,56,6.8434182567973725
tt2004203,short,Death by Suffocation,Der Schübling,0,2010.0,,30.0,"['Drama', 'Short']",6.8,8,6.8285831358111855
tt0548768,tvEpisode,Episode #7.30,Episode #7.30,0,1985.0,,30.0,[],6.6,5,6.8246760819968
tt0306019,movie,Rio de Janeiro - Terra Mágica,Rio de Janeiro - Terra Mágica,0,1985.0,,60.0,[],4.2,6,6.762443417818089
tt0300640,movie,"We, the Screenwriter","We, the Screenwriter",0,2006.0,,98.0,[],5.6,32,6.678828364702111
tt0391537,tvMovie,Wunschkinder und andere Zufälle,Wunschkinder und andere Zufälle,0,2003.0,,90.0,"['Comedy', 'Drama', 'Romance']",3.4,42,6.2980597903588595
tt0457462,movie,Totally Personal,Sasvim licno,0,2005.0,,72.0,"['Biography', 'Documentary']",7.8,111,7.146394715256621
tt2352415,tvEpisode,Episode #1.5488,Episode #1.5488,0,2012.0,,28.0,"['Drama', 'Romance']",7.2,5,6.8374965948173125
tt0044513,movie,Confidence Girl,Confidence Girl,0,1952.0,,81.0,"['Crime', 'Drama', 'Film-Noir']",6.1,159,6.5306036164619865
tt0337566,video,AC/DC: Live at Donington,AC/DC: Live at Donington,0,1992.0,,120.0,"['Documentary', 'Music']",8.5,1343,8.25666297912675
tt1848211,tvSeries,Momo Love,Tao Hua xiao mei,0,2009.0,2010.0,75.0,[],6.3,44,6.744227850502751
tt0328390,movie,Second Best,Second Best,0,2004.0,,86.0,[],6.0,386,6.308901143393904
tt1821389,short,The Wind is Blowing on My Street,The Wind is Blowing on My Street,0,2011.0,,15.0,"['Drama', 'Short']",7.5,17,6.875911395070126
tt5578090,short,Somewhere Between Heaven and Hell,Somewhere Between Heaven and Hell,0,2016.0,,15.0,"['Drama', 'Short']",8.3,13,6.908571087550624
tt0091658,movie,Nutcracker,Nutcracker,0,1986.0,,89.0,"['Family', 'Fantasy', 'Music']",7.0,838,6.963424745255156
tt0042226,movie,Battle of Roses,Bara kassen,0,1950.0,,98.0,[],6.5,55,6.765754236574828
tt1115217,tvEpisode,We're Not from Here,We're Not from Here,0,2007.0,,22.0,"['Comedy', 'Romance']",7.7,2480,7.6264208944951095
tt0017382,movie,The Show-Off,The Show-Off,0,1926.0,,82.0,"['Comedy', 'Drama']",6.8,242,6.814382597000533
tt0480029,movie,La tragedia de Macario,La tragedia de Macario,0,2005.0,,71.0,[],7.1,69,6.892195312708896
tt0516441,tvEpisode,Tommy's Trip,Tommy's Trip,0,1980.0,,49.0,"['Adventure', 'Crime']",6.6,21,6.810296812749004
tt1297373,tvShort,The Calligrapher,The Calligrapher,0,1991.0,,1.0,"['Animation', 'Short']",6.6,169,6.732095987907666
tt4034398,tvMiniSeries,Life in Squares,Life in Squares,0,2015.0,,171.0,[],6.5,557,6.596023159271311
tt5197828,tvEpisode,Right,Right,0,2016.0,,42.0,"['Crime', 'Drama', 'Mystery']",6.5,641,6.586751957686495
